PRED_NRM_P_GEN_MIN,PRED_NRM_P_GEN_MAX
0.0,0.0002020202
0.0,0.0002020202
0.0,0.0002020202
0.0,0.0002020202
0.0,0.0002020202
0.002318840586956522,0.04306878309523808
0.00013888889583333334,0.07314009665217393
0.042787878745454554,0.16267973858823537
0.08629050307042253,0.33546014429687515
0.21346031751428574,0.4434625322790698
0.28808517482352947,0.5090338164130435
0.3538461538461538,0.5570455713477221
0.21339190072727277,0.5090338164130435
0.21339190072727277,0.5090338164130435
0.07375167358064513,0.3475061728444445
0.28307511475510205,0.5707189542352943
0.03063703708000001,0.14812260529310342
0.11188405795652177,0.33546014429687515
0.05221927952542373,0.09502057612962964
0.05290404039772727,0.18497175142372882
0.0006937259318181818,0.00471274675
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0009746588596491228,0.04306878309523808
0.005071895411764706,0.044197530888888885
0.05221927952542373,0.14812260529310342
0.28808517482352947,0.5570455713477221
0.4335697399361702,0.5570455713477221
0.4335697399361702,0.7325396825178571
0.44183574880434795,0.5570455713477221
0.3639153439642857,0.5707189542352943
0.3639153439642857,0.6796913580185189
0.17371428572857145,0.5570455713477221
0.28307511475510205,0.5707189542352943
0.28307511475510205,0.5707189542352943
0.07550387593023254,0.19859154926760564
0.12811111112500004,0.5090338164130435
0.060743721150943404,0.14028021559550558
0.002318840586956522,0.021154401090909096
0.0,0.0020512820512820513
0.0,0.0
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.002318840586956522,0.04306878309523808
0.00013888889583333334,0.07314009665217393
0.042787878745454554,0.16267973858823537
0.28808517482352947,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.3639153439642857,0.5707189542352943
0.44183574880434795,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.15431926860000003,0.19859154926760564
0.11188405795652177,0.22065185189333333
0.21346031751428574,0.36139433541176463
0.060743721150943404,0.14028021559550558
0.002318840586956522,0.021154401090909096
0.0,0.0005175038082191781
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.0,0.0007619047571428571
0.002318840586956522,0.04306878309523808
0.005071895411764706,0.0655092592708333
0.05290404039772727,0.16267973858823537
0.29217948725,0.5570455713477221
0.17371428572857145,0.5570455713477221
0.3639153439642857,0.5707189542352943
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.28307511475510205,0.5707189542352943
0.28307511475510205,0.5570455713477221
0.055846994540983595,0.19859154926760564
0.1548509484878049,0.19859154926760564
0.060743721150943404,0.14028021559550558
0.002318840586956522,0.021154401090909096
0.0,0.0009876543111111112
0.0,0.0007619047571428571
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0005175038082191781
3.2206115942028984e-05,0.021154401090909096
0.05221927952542373,0.14812260529310342
0.06682539685714285,0.21966623857547174
0.21339190072727277,0.5090338164130435
0.29217948725,0.5090338164130435
0.44183574880434795,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.07319658119999999,0.22065185189333333
0.055846994540983595,0.22065185189333333
0.18444444448333333,0.4674074074102563
0.055846994540983595,0.2838574423396227
0.055846994540983595,0.22065185189333333
0.05290404039772727,0.11908496732352943
0.002318840586956522,0.021154401090909096
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.2206115942028984e-05,0.008888888836734693
0.005071895411764706,0.07314009665217393
0.05290404039772727,0.21739682415942038
0.28808517482352947,0.5570455713477221
0.3538461538461538,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.28307511475510205,0.5707189542352943
0.055846994540983595,0.19859154926760564
0.1548509484878049,0.36139433541176463
0.04880972869811321,0.13623145280769233
0.002318840586956522,0.00995555552
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0003418803333333333
0.0,0.0003418803333333333
0.0,0.0
0.0,0.0005175038082191781
3.2206115942028984e-05,0.00995555552
0.015980392176470588,0.09502057612962964
0.04880972869811321,0.13623145280769233
0.29217948725,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.3639153439642857,0.5707189542352943
0.3639153439642857,0.6796913580185189
0.3234767024838711,0.6796913580185189
0.3234767024838711,0.6796913580185189
0.3234767024838711,0.6796913580185189
0.3234767024838711,0.6796913580185189
0.17371428572857145,0.5570455713477221
0.055846994540983595,0.19859154926760564
0.055846994540983595,0.36139433541176463
0.055846994540983595,0.13623145280769233
0.002318840586956522,0.00995555552
0.0,0.0
0.0,0.0009876543111111112
0.0,0.0009876543111111112
0.0,0.0009876543111111112
0.0,0.0009876543111111112
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0009746588596491228,0.00995555552
0.060743721150943404,0.16267973858823537
0.06682539685714285,0.21966623857547174
0.08629050307042253,0.25772727270454543
0.3538461538461538,0.5570455713477221
0.29217948725,0.5570455713477221
0.29217948725,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.28307511475510205,0.7325396825178571
0.07375167358064513,0.22065185189333333
0.29217948725,0.5570455713477221
0.15431926860000003,0.2838574423396227
0.060743721150943404,0.11908496732352943
0.04880972869811321,0.21739682415942038
0.0016626143137254902,0.013979797909090904
0.0001754386052631579,0.0004192872075471698
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0006937259318181818,0.00471274675
0.0017460317380952385,0.07314009665217393
0.042787878745454554,0.16267973858823537
0.15431926860000003,0.33546014429687515
0.21346031751428574,0.4434625322790698
0.21339190072727277,0.5090338164130435
0.26751752548936175,0.4674074074102563
0.29217948725,0.5570455713477221
0.21339190072727277,0.4674074074102563
0.11188405795652177,0.22065185189333333
0.04880972869811321,0.13623145280769233
0.08629050307042253,0.32631393299999994
0.06682539685714285,0.21966623857547174
0.042787878745454554,0.16267973858823537
0.015980392176470588,0.14812260529310342
0.0006937259318181818,0.00471274675
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0009746588596491228,0.00995555552
0.015980392176470588,0.09502057612962964
0.05864876408928571,0.21966623857547174
0.28808517482352947,0.5570455713477221
0.21346031751428574,0.4434625322790698
0.28808517482352947,0.5570455713477221
0.28808517482352947,0.5570455713477221
0.15431926860000003,0.25772727270454543
0.3538461538461538,0.5570455713477221
0.3538461538461538,0.5570455713477221
0.015980392176470588,0.18497175142372882
0.21346031751428574,0.36139433541176463
0.10910052909523808,0.2838574423396227
0.06682539685714285,0.13623145280769233
0.015980392176470588,0.16267973858823537
0.002318840586956522,0.00995555552
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0
0.0001754386052631579,0.0005175038082191781
0.0009746588596491228,0.00995555552
0.005071895411764706,0.07314009665217393
0.06682539685714285,0.13623145280769233
0.08629050307042253,0.25772727270454543
0.10910052909523808,0.3475061728444445
0.4335697399361702,0.7325396825178571
0.4335697399361702,0.7325396825178571
0.21346031751428574,0.36139433541176463
0.29217948725,0.5570455713477221
0.28307511475510205,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.17371428572857145,0.5570455713477221
0.21346031751428574,0.4434625322790698
0.15431926860000003,0.2838574423396227
0.08629050307042253,0.22065185189333333
0.0016626143137254902,0.013979797909090904
0.0001754386052631579,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0003418803333333333
0.0,0.0003418803333333333
0.0,0.0003418803333333333
0.0,0.0003418803333333333
0.0001754386052631579,0.0
0.0,0.0
0.0017460317380952385,0.0655092592708333
0.022626262636363633,0.09502057612962964
0.06682539685714285,0.21966623857547174
0.28808517482352947,0.5570455713477221
0.21346031751428574,0.4434625322790698
0.28808517482352947,0.5570455713477221
0.4335697399361702,0.5570455713477221
0.29217948725,0.39399260902898553
0.07375167358064513,0.21966623857547174
0.28808517482352947,0.4674074074102563
0.3538461538461538,0.5570455713477221
0.11188405795652177,0.25772727270454543
0.28808517482352947,0.39399260902898553
0.11188405795652177,0.32631393299999994
0.005071895411764706,0.0655092592708333
0.0,0.0020512820512820513
0.0,0.0
0.0,0.0006810035806451612
0.0,0.0006810035806451612
0.0,0.0
0.0,0.0
0.0,0.0006810035806451612
0.0,0.0006810035806451612
0.0009746588596491228,0.04306878309523808
0.005071895411764706,0.07314009665217393
0.05864876408928571,0.21966623857547174
0.06682539685714285,0.21966623857547174
0.07375167358064513,0.14028021559550558
0.07550387593023254,0.25772727270454543
0.3538461538461538,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.28307511475510205,0.5707189542352943
0.12811111112500004,0.5570455713477221
0.12811111112500004,0.5570455713477221
0.15431926860000003,0.19859154926760564
0.03063703708000001,0.14812260529310342
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0006937259318181818,0.00471274675
0.005071895411764706,0.07314009665217393
0.03063703708000001,0.14812260529310342
0.07375167358064513,0.21966623857547174
0.00013888889583333334,0.0655092592708333
0.29217948725,0.5570455713477221
0.21339190072727277,0.5090338164130435
0.29217948725,0.5570455713477221
0.1548509484878049,0.2838574423396227
0.060743721150943404,0.21739682415942038
0.06682539685714285,0.21966623857547174
0.05290404039772727,0.18497175142372882
0.03063703708000001,0.14812260529310342
0.0017460317380952385,0.0655092592708333
0.0017460317380952385,0.0655092592708333
0.0006937259318181818,0.00471274675
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0009746588596491228,0.008888888836734693
0.0017460317380952385,0.013979797909090904
0.03063703708000001,0.10221172560465118
0.042787878745454554,0.10221172560465118
0.05221927952542373,0.10221172560465118
0.05290404039772727,0.10221172560465118
0.06682539685714285,0.22365334154901964
0.06595387839622639,0.22365334154901964
0.05864876408928571,0.22365334154901964
0.03063703708000001,0.10221172560465118
0.05221927952542373,0.10221172560465118
0.03063703708000001,0.10221172560465118
0.0017460317380952385,0.044197530888888885
0.002318840586956522,0.008888888836734693
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0001754386052631579,0.0
0.0001754386052631579,0.0
0.0001754386052631579,0.0
0.0001754386052631579,0.0
0.0,0.0
0.0001754386052631579,0.0
0.002318840586956522,0.04306878309523808
0.00013888889583333334,0.0655092592708333
0.022626262636363633,0.10221172560465118
0.022626262636363633,0.10221172560465118
0.042787878745454554,0.22365334154901964
0.05864876408928571,0.22365334154901964
0.05864876408928571,0.21966623857547174
0.022626262636363633,0.16267973858823537
0.022626262636363633,0.16267973858823537
0.06682539685714285,0.21966623857547174
0.05864876408928571,0.21966623857547174
0.042787878745454554,0.16267973858823537
0.005071895411764706,0.0655092592708333
0.0017460317380952385,0.013979797909090904
0.0006937259318181818,0.00471274675
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.002318840586956522,0.008888888836734693
0.03063703708000001,0.10221172560465118
0.05864876408928571,0.21966623857547174
0.07375167358064513,0.21966623857547174
0.11188405795652177,0.32631393299999994
0.11188405795652177,0.25772727270454543
0.28808517482352947,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.28307511475510205,0.7325396825178571
0.3639153439642857,0.7325396825178571
0.3639153439642857,0.7325396825178571
0.3538461538461538,0.5570455713477221
0.10910052909523808,0.22065185189333333
0.04880972869811321,0.21739682415942038
0.005071895411764706,0.044197530888888885
3.2206115942028984e-05,0.021154401090909096
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.2206115942028984e-05,0.021154401090909096
0.005071895411764706,0.07314009665217393
0.05221927952542373,0.14812260529310342
0.07375167358064513,0.33546014429687515
0.07550387593023254,0.33546014429687515
0.28808517482352947,0.4674074074102563
0.11188405795652177,0.33546014429687515
0.060743721150943404,0.14028021559550558
0.11188405795652177,0.33546014429687515
0.44183574880434795,0.5570455713477221
0.28307511475510205,0.7325396825178571
0.28307511475510205,0.7325396825178571
0.23029239768421048,0.5570455713477221
0.10910052909523808,0.22065185189333333
0.06682539685714285,0.14028021559550558
0.0016626143137254902,0.013979797909090904
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.2206115942028984e-05,0.04306878309523808
0.042787878745454554,0.10221172560465118
0.05290404039772727,0.18497175142372882
0.28808517482352947,0.5570455713477221
0.28307511475510205,0.5570455713477221
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.17371428572857145,0.5570455713477221
0.12811111112500004,0.4674074074102563
0.21339190072727277,0.4674074074102563
0.1548509484878049,0.36139433541176463
0.12811111112500004,0.5570455713477221
0.1548509484878049,0.36139433541176463
0.07550387593023254,0.19859154926760564
0.005071895411764706,0.0655092592708333
0.0006937259318181818,0.00471274675
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.002318840586956522,0.008888888836734693
0.0017460317380952385,0.07314009665217393
0.06682539685714285,0.21966623857547174
0.06682539685714285,0.21966623857547174
0.1548509484878049,0.4142521783023256
0.2793888888750001,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.18444444448333333,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.3639153439642857,0.6796913580185189
0.28307511475510205,0.5707189542352943
0.18444444448333333,0.5570455713477221
0.055846994540983595,0.19859154926760564
0.055846994540983595,0.22065185189333333
0.022626262636363633,0.09502057612962964
0.0006937259318181818,0.00471274675
0.0001754386052631579,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0004192872075471698
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.2206115942028984e-05,0.00995555552
0.042787878745454554,0.16267973858823537
0.06595387839622639,0.21966623857547174
0.15431926860000003,0.33546014429687515
0.26751752548936175,0.4674074074102563
0.3639153439642857,0.7325396825178571
0.2793888888750001,0.5570455713477221
0.055846994540983595,0.4434625322790698
0.18444444448333333,0.5570455713477221
0.055846994540983595,0.2838574423396227
0.055846994540983595,0.2838574423396227
0.06682539685714285,0.13623145280769233
0.055846994540983595,0.22065185189333333
0.06595387839622639,0.13623145280769233
0.002318840586956522,0.00995555552
0.0,0.0004192872075471698
0.0,0.0004192872075471698
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0006937259318181818,0.00471274675
0.0017460317380952385,0.044197530888888885
0.022626262636363633,0.18497175142372882
0.26751752548936175,0.5090338164130435
0.29217948725,0.5570455713477221
0.28307511475510205,0.7325396825178571
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.3639153439642857,0.6796913580185189
0.17371428572857145,0.5570455713477221
0.3639153439642857,0.6796913580185189
0.28307511475510205,0.5570455713477221
0.055846994540983595,0.11908496732352943
0.055846994540983595,0.19859154926760564
0.06682539685714285,0.11908496732352943
0.002318840586956522,0.008888888836734693
0.0,0.0
0.0,0.0
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0006937259318181818,0.00471274675
0.03063703708000001,0.14812260529310342
0.06682539685714285,0.21966623857547174
0.26751752548936175,0.5090338164130435
0.3538461538461538,0.5570455713477221
0.21339190072727277,0.4674074074102563
0.17371428572857145,0.5570455713477221
0.21339190072727277,0.4674074074102563
0.12811111112500004,0.4674074074102563
0.055846994540983595,0.19859154926760564
0.12811111112500004,0.5570455713477221
0.055846994540983595,0.19859154926760564
0.055846994540983595,0.19859154926760564
0.055846994540983595,0.19859154926760564
0.060743721150943404,0.11908496732352943
0.002318840586956522,0.021154401090909096
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0006937259318181818,0.00471274675
0.0017460317380952385,0.044197530888888885
0.05290404039772727,0.18497175142372882
0.26751752548936175,0.5090338164130435
0.3538461538461538,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.18444444448333333,0.4674074074102563
0.055846994540983595,0.4434625322790698
0.17371428572857145,0.5570455713477221
0.055846994540983595,0.19859154926760564
0.17371428572857145,0.5570455713477221
0.12811111112500004,0.39399260902898553
0.055846994540983595,0.19859154926760564
0.055846994540983595,0.11908496732352943
0.055846994540983595,0.11908496732352943
0.002318840586956522,0.021154401090909096
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0004192872075471698
0.0,0.0004192872075471698
0.0,0.0004192872075471698
0.0009746588596491228,0.008888888836734693
0.0009746588596491228,0.008888888836734693
0.0017460317380952385,0.07314009665217393
0.042787878745454554,0.22365334154901964
0.08629050307042253,0.33546014429687515
0.2793888888750001,0.5570455713477221
0.1548509484878049,0.36139433541176463
0.3639153439642857,0.7325396825178571
0.28307511475510205,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.055846994540983595,0.22065185189333333
0.055846994540983595,0.21739682415942038
0.055846994540983595,0.21739682415942038
0.0006937259318181818,0.00471274675
0.0,0.0
0.0,0.0004192872075471698
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0016626143137254902,0.013979797909090904
0.05221927952542373,0.14812260529310342
0.26751752548936175,0.5090338164130435
0.2793888888750001,0.5570455713477221
0.28307511475510205,0.7325396825178571
0.2793888888750001,0.5570455713477221
0.28307511475510205,0.5707189542352943
0.3234767024838711,0.5707189542352943
0.3234767024838711,0.6796913580185189
0.3234767024838711,0.6796913580185189
0.12811111112500004,0.4674074074102563
0.07319658119999999,0.11908496732352943
0.055846994540983595,0.19859154926760564
0.055846994540983595,0.11908496732352943
0.002318840586956522,0.008888888836734693
0.0,0.0009876543111111112
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0004192872075471698
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0017460317380952385,0.0655092592708333
0.04880972869811321,0.21966623857547174
0.042787878745454554,0.16267973858823537
0.022626262636363633,0.18497175142372882
0.15431926860000003,0.33546014429687515
0.18444444448333333,0.5090338164130435
0.18444444448333333,0.5570455713477221
0.022626262636363633,0.09502057612962964
0.11188405795652177,0.32631393299999994
0.042787878745454554,0.16267973858823537
0.07375167358064513,0.21966623857547174
0.06595387839622639,0.21966623857547174
0.015980392176470588,0.18497175142372882
0.005071895411764706,0.044197530888888885
0.0,0.0
0.0,0.0004192872075471698
0.0,0.0004192872075471698
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0017460317380952385,0.013979797909090904
0.022626262636363633,0.10221172560465118
0.28808517482352947,0.4674074074102563
0.3538461538461538,0.5570455713477221
0.26751752548936175,0.39399260902898553
0.3538461538461538,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.3639153439642857,0.6796913580185189
0.2793888888750001,0.5570455713477221
0.28307511475510205,0.5707189542352943
0.21339190072727277,0.39399260902898553
0.15431926860000003,0.2838574423396227
0.11188405795652177,0.22065185189333333
0.005071895411764706,0.0655092592708333
0.0001754386052631579,0.0009876543111111112
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0004192872075471698
0.0009746588596491228,0.00995555552
0.0017460317380952385,0.07314009665217393
0.0017460317380952385,0.044197530888888885
0.015980392176470588,0.10221172560465118
0.015980392176470588,0.18497175142372882
0.015980392176470588,0.10221172560465118
0.06682539685714285,0.22365334154901964
0.08629050307042253,0.25772727270454543
0.2793888888750001,0.5570455713477221
0.26751752548936175,0.5570455713477221
0.26751752548936175,0.5570455713477221
0.1548509484878049,0.36139433541176463
0.11188405795652177,0.22065185189333333
0.04880972869811321,0.13623145280769233
0.0,0.0009876543111111112
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0001754386052631579,0.0005175038082191781
0.0001754386052631579,0.0005175038082191781
0.0001754386052631579,0.0
0.0016626143137254902,0.013979797909090904
0.022626262636363633,0.13623145280769233
0.26751752548936175,0.39399260902898553
0.29217948725,0.5570455713477221
0.29217948725,0.5570455713477221
0.3639153439642857,0.7325396825178571
0.11188405795652177,0.25772727270454543
0.28307511475510205,0.7325396825178571
0.1548509484878049,0.36139433541176463
0.042787878745454554,0.16267973858823537
0.042787878745454554,0.16267973858823537
0.11188405795652177,0.32631393299999994
0.11188405795652177,0.32631393299999994
0.060743721150943404,0.16267973858823537
0.0001754386052631579,0.0
0.0001754386052631579,0.0
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0001754386052631579,0.0
0.0001754386052631579,0.0
0.0,0.0
0.0001754386052631579,0.0
0.0,0.0
0.005071895411764706,0.07314009665217393
0.022626262636363633,0.16267973858823537
0.28808517482352947,0.39399260902898553
0.3538461538461538,0.5570455713477221
0.3538461538461538,0.5570455713477221
0.28307511475510205,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.3639153439642857,0.6796913580185189
0.23029239768421048,0.5570455713477221
0.21339190072727277,0.39399260902898553
0.15431926860000003,0.2838574423396227
0.1548509484878049,0.2838574423396227
0.11188405795652177,0.22065185189333333
0.005071895411764706,0.07314009665217393
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0016626143137254902,0.013979797909090904
0.042787878745454554,0.16267973858823537
0.28808517482352947,0.39399260902898553
0.3538461538461538,0.5570455713477221
0.28307511475510205,0.7325396825178571
0.23029239768421048,0.5570455713477221
0.2793888888750001,0.5570455713477221
0.1548509484878049,0.19859154926760564
0.15431926860000003,0.19859154926760564
0.3639153439642857,0.6796913580185189
0.21339190072727277,0.39399260902898553
0.26751752548936175,0.4674074074102563
0.04880972869811321,0.13623145280769233
0.005071895411764706,0.044197530888888885
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.2206115942028984e-05,0.008888888836734693
0.022626262636363633,0.18497175142372882
0.11188405795652177,0.33546014429687515
0.04880972869811321,0.21966623857547174
0.26751752548936175,0.5570455713477221
0.29217948725,0.5570455713477221
0.04880972869811321,0.21739682415942038
0.15431926860000003,0.4142521783023256
0.26751752548936175,0.4674074074102563
0.06595387839622639,0.21966623857547174
0.042787878745454554,0.16267973858823537
0.06595387839622639,0.21966623857547174
0.07375167358064513,0.33546014429687515
3.2206115942028984e-05,0.008888888836734693
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.002318840586956522,0.008888888836734693
0.05221927952542373,0.14812260529310342
0.05221927952542373,0.18497175142372882
0.28808517482352947,0.5090338164130435
0.08629050307042253,0.32631393299999994
0.04880972869811321,0.21966623857547174
0.15431926860000003,0.32631393299999994
0.26751752548936175,0.5570455713477221
0.1548509484878049,0.2838574423396227
0.07375167358064513,0.33546014429687515
0.11188405795652177,0.33546014429687515
0.060743721150943404,0.21739682415942038
0.03063703708000001,0.14812260529310342
0.005071895411764706,0.0655092592708333
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3.2206115942028984e-05,0.021154401090909096
0.05290404039772727,0.16267973858823537
0.07375167358064513,0.33546014429687515
0.44183574880434795,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.44183574880434795,0.5570455713477221
0.21339190072727277,0.39399260902898553
0.21339190072727277,0.39399260902898553
0.2793888888750001,0.5570455713477221
0.1548509484878049,0.4434625322790698
0.07375167358064513,0.11908496732352943
0.060743721150943404,0.11908496732352943
0.005071895411764706,0.0655092592708333
0.0,0.0005175038082191781
0.0,0.0009876543111111112
0.0,0.0
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0009746588596491228,0.008888888836734693
0.005071895411764706,0.07314009665217393
0.022626262636363633,0.21739682415942038
0.06682539685714285,0.21739682415942038
0.26751752548936175,0.39399260902898553
0.26751752548936175,0.5570455713477221
0.11188405795652177,0.25772727270454543
0.3639153439642857,0.7325396825178571
0.11188405795652177,0.25772727270454543
0.26751752548936175,0.5570455713477221
0.28307511475510205,0.5570455713477221
0.15431926860000003,0.19859154926760564
0.08629050307042253,0.19859154926760564
0.015980392176470588,0.13623145280769233
0.0001754386052631579,0.0009876543111111112
0.0001754386052631579,0.0009876543111111112
0.0001754386052631579,0.0009876543111111112
0.0,0.0005175038082191781
0.0,0.0005175038082191781
0.0,0.0
0.0001754386052631579,0.0
0.0,0.0020512820512820513
0.0,0.0020512820512820513
0.0,0.0020512820512820513
0.0016626143137254902,0.013979797909090904
0.022626262636363633,0.16267973858823537
0.11188405795652177,0.32631393299999994
0.15431926860000003,0.4142521783023256
0.28808517482352947,0.5570455713477221
0.29217948725,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.3639153439642857,0.6796913580185189
0.08629050307042253,0.22065185189333333
0.07375167358064513,0.22065185189333333
0.10910052909523808,0.22065185189333333
0.15431926860000003,0.19859154926760564
0.0009746588596491228,0.008888888836734693
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0001754386052631579,0.001900584802631579
0.0001754386052631579,0.001900584802631579
0.0009746588596491228,0.008888888836734693
0.060743721150943404,0.21739682415942038
0.11188405795652177,0.32631393299999994
0.29217948725,0.5570455713477221
0.21346031751428574,0.4434625322790698
0.3538461538461538,0.5570455713477221
0.3538461538461538,0.5570455713477221
0.23029239768421048,0.5570455713477221
0.12811111112500004,0.39399260902898553
0.28307511475510205,0.5707189542352943
0.1548509484878049,0.36139433541176463
0.1548509484878049,0.36139433541176463
0.05290404039772727,0.11908496732352943
0.05221927952542373,0.09502057612962964
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0002020202
0.0,0.0002020202
0.0,0.0002020202
0.0,0.0002020202
3.2206115942028984e-05,0.04306878309523808
